,0,1
1118,Citizens of Springfield,Eleanor Abernathy
1119,Citizens of Springfield,Acne Man 1
1120,Citizens of Springfield,Acne Man 2
1121,Citizens of Springfield,Actor 1
1122,Citizens of Springfield,Actor 2
1123,Citizens of Springfield,Admissions Agent 1
1124,Citizens of Springfield,Admissions Agent 2
1125,Citizens of Springfield,Adriatica Vel Johnson
1126,Citizens of Springfield,Adult Education Annex owner
1127,Citizens of Springfield,African Elephant Guy
1128,Citizens of Springfield,African-American Teacher
1129,Citizens of Springfield,Agent Johnson
1130,Citizens of Springfield,Air Force Guard
1131,Citizens of Springfield,Air Safety Inspector 1
1132,Citizens of Springfield,Air Safety Inspector 2
1133,Citizens of Springfield,Airshow Tour Guide
1134,Citizens of Springfield,Akira
1135,Citizens of Springfield,Albert
1137,Citizens of Springfield,Kumiko Albertson
1138,Citizens of Springfield,Ms. Albright
1139,Citizens of Springfield,Alcoholic Employee
1140,Citizens of Springfield,Alfie
1141,Citizens of Springfield,Langdon Alger
1142,Citizens of Springfield,Ali Rudy Vallée
1143,Citizens of Springfield,Alien 2
1144,Citizens of Springfield,Alphonse
1145,Citizens of Springfield,Ameil
1146,Citizens of Springfield,Amelia Vanderbuckle
1147,Citizens of Springfield,America's Most Armed and Dangerous Presenter
1148,Citizens of Springfield,American Spy
1149,Citizens of Springfield,Amish Man
1150,Citizens of Springfield,Amy
1151,Citizens of Springfield,Andy (Moms I'd Like to Forget)
1152,Citizens of Springfield,Andy (Scuse Me While I Miss the Sky)
1153,Citizens of Springfield,Angel of Death
1154,Citizens of Springfield,Angelica
1155,Citizens of Springfield,Anger Watkins
1156,Citizens of Springfield,Angry Audience Member
1157,Citizens of Springfield,Angry Customer
1158,Citizens of Springfield,Angry Man
1159,Citizens of Springfield,Angry Mob
1160,Citizens of Springfield,Angry Mom
1161,Citizens of Springfield,Animal Refuge owner
1162,Citizens of Springfield,Animal Woman
1163,Citizens of Springfield,Anita
1164,Citizens of Springfield,Annette
1165,Citizens of Springfield,Annette (therapist)
1166,Citizens of Springfield,Tattoo Annie
1167,Citizens of Springfield,Anthony Hopkins
1168,Citizens of Springfield,Appendix Guy
1169,Citizens of Springfield,Arboretum Overseer
1170,Citizens of Springfield,Arcade Bouncer
1171,Citizens of Springfield,Arcade Cashier
1172,Citizens of Springfield,Arcade Guard 1
1173,Citizens of Springfield,Arcade Guard 2
1174,Citizens of Springfield,Arcade Kid
1175,Citizens of Springfield,Architect Relative
1176,Citizens of Springfield,Army Pilot 1
1177,Citizens of Springfield,Army Pilot 2
1178,Citizens of Springfield,Army Pilot 3
1179,Citizens of Springfield,Arnie Pye's Pilot
1180,Citizens of Springfield,Arnold (Grocery Store clerk)
1181,Citizens of Springfield,Arsonist
1182,Citizens of Springfield,Art teacher
1183,Citizens of Springfield,Arthur
1184,Citizens of Springfield,Arthur (Student)
1185,Citizens of Springfield,Ashley
1186,Citizens of Springfield,Ashley (3rd Grader)
1187,Citizens of Springfield,Ashley Grant
1188,Citizens of Springfield,Asian Gang Member
1189,Citizens of Springfield,Assembly Line Worker
1190,Citizens of Springfield,Assistant 1
1191,Citizens of Springfield,Assistant 2
1192,Citizens of Springfield,Astronomer
1193,Citizens of Springfield,Auction Announcer
1194,Citizens of Springfield,Auction Announcer (Bart the Fink)
1195,Citizens of Springfield,Auction Announcer (The Boy Who Knew Too Much)
1196,Citizens of Springfield,Auctioneer
1197,Citizens of Springfield,Auctioneer (The Boy Who Knew Too Much)
1198,Citizens of Springfield,Audience Researcher
1199,Citizens of Springfield,Audio Recording Specialist
1200,Citizens of Springfield,Audrey McConnell's Student 1
1201,Citizens of Springfield,Audrey McConnell's Student 2
1202,Citizens of Springfield,Audrey McConnell's Student 4
1203,Citizens of Springfield,Audrey McConnell's Student 8
1204,Citizens of Springfield,Stefane August
1205,Citizens of Springfield,Aztec Theater Manager
1206,Citizens of Springfield,Baby-Proofing Saleswoman
1207,Citizens of Springfield,Babysitter
1208,Citizens of Springfield,Babysitting Lady
1209,Citizens of Springfield,Mary Bailey
1210,Citizens of Springfield,Tina Ballerina
1211,Citizens of Springfield,Ballet Teacher
